"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All states (including the District of Columbia) are required to provide data to The Centers for Medicare & Medicaid Services (CMS) on a range of indicators related to key application, eligibility, and enrollment processes within the state Medicaid and Children’s Health Insurance Programs (CHIP). These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total New Determinations,Total New Determinations - footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
WY,Wyoming,3/1/2018,N,U,Y,"1,800",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"1,800",Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,876,,36,,912,,40700,,"60,778",,44.0407,-72.7093,"(44.0407, -72.7093)",55978,,4800,
AL,Alabama,2/1/2018,N,P,N,"18,090",,N/A,,"18,090",,"27,859",,"2,716",,"30,575",,634795,,"893,567",,32.799,-86.8073,"(32.799, -86.8073)",720286,,173281,
AL,Alabama,2/1/2018,N,U,Y,"18,090",,N/A,,"18,090",,"27,859",,"2,716",,"30,575",,641359,,"902,775",,32.799,-86.8073,"(32.799, -86.8073)",726854,,175921,
AK,Alaska,2/1/2018,Y,P,N,"3,052",Includes Renewals and/or Redeterminations,N/A,,"3,052",Includes Renewals and/or Redeterminations,"2,334",Includes Renewals and/or Redeterminations; Includes CHIP,,,"2,334",Includes Renewals and/or Redeterminations,92415,,"203,672",,61.385,-152.2683,"(61.385, -152.2683)",190509,,13163,
AK,Alaska,2/1/2018,Y,U,Y,"3,052",Includes Renewals and/or Redeterminations,N/A,,"3,052",Includes Renewals and/or Redeterminations,"2,334",Includes Renewals and/or Redeterminations; Includes CHIP,,,"2,334",Includes Renewals and/or Redeterminations,92649,,"204,311",,61.385,-152.2683,"(61.385, -152.2683)",191133,,13178,
AZ,Arizona,2/1/2018,Y,P,N,,,N/A,,,,,,,,,,,,"1,673,728",,14.2417,-170.7197,"(14.2417, -170.7197)",1579801,,93927,
AZ,Arizona,2/1/2018,Y,U,Y,,,N/A,,,,,,,,,,,,"1,673,728",,14.2417,-170.7197,"(14.2417, -170.7197)",1579801,,93927,
AR,Arkansas,2/1/2018,Y,P,Y,,,N/A,,,,,,,,,,430385,,"893,071",Includes Private Option Enrollees,34.9513,-92.3809,"(34.9513, -92.3809)",810820,Includes Private Option Enrollees,82251,
CA,California,2/1/2018,Y,P,N,"182,818",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"182,818",,"167,178",Does Not Include All Medicaid Determinations Made At Application,"15,031",Does Not Include All CHIP Determinations Made At Application,"182,209",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5098261,,"12,132,921",,33.7712,-111.3877,"(33.7712, -111.3877)",10825344,,1307577,
CA,California,2/1/2018,Y,U,Y,"182,818",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"182,818",,"167,179",Does Not Include All Medicaid Determinations Made At Application,"15,031",Does Not Include All CHIP Determinations Made At Application,"182,210",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5131976,,"12,215,946",,33.7712,-111.3877,"(33.7712, -111.3877)",10898599,,1317347,
CO,Colorado,2/1/2018,Y,P,Y,"23,227",,1351,,"24,578",,"18,760",,356,,"19,116",,610069,,"1,344,943",,36.17,-119.7462,"(36.17, -119.7462)",1262425,,82518,
CT,Connecticut,2/1/2018,Y,P,Y,"3,558",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Duplicates,12612,Does Not Include All Medicaid Applications Received By the SBM; Includes Duplicates; Includes Renewals and/or Redeterminations,"16,170",Does Not Include All Medicaid Applications; Includes Duplicates,"14,111",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,395,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"14,506",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,333335,Does Not Include All Full-Benefit Child Medicaid enrollees ; Does Not Include All CHIP enrollees,"840,412",Does Not Include All Full-Benefit Medicaid enrollees; Does Not Include All CHIP enrollees,39.0646,-105.3272,"(39.0646, -105.3272)",822695,Does Not Include All Full-Benefit Medicaid enrollees,17717,Does Not Include All CHIP enrollees
DE,Delaware,2/1/2018,Y,P,Y,"2,828",,N/A,,"2,828",,"4,753",,715,,"5,468",,105722,,"248,417",,38.8964,-77.0262,"(38.8964, -77.0262)",237118,,11299,
DC,District of Columbia,2/1/2018,Y,P,N,"1,017",Includes SBM data,2190,,"3,207",Includes Renewals and/or Redeterminations,"3,357",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,357",,,,"263,860",,41.5834,-72.7622,"(41.5834, -72.7622)",251002,,12858,
DC,District of Columbia,2/1/2018,Y,U,Y,"1,017",Includes SBM data,2190,,"3,207",Includes Renewals and/or Redeterminations,"3,357",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,357",,,,"263,860",,41.5834,-72.7622,"(41.5834, -72.7622)",251002,,12858,
FL,Florida,2/1/2018,N,P,Y,"301,836",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"301,836",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"174,329",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"21,896",,"196,225",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2546191,,"4,281,401",,39.3498,-75.5148,"(39.3498, -75.5148)",4080379,,201022,
GA,Georgia,2/1/2018,N,U,Y,"48,870",,N/A,,"48,870",,"39,158",,"1,466",,"40,624",,1282924,,"1,840,410",,27.8333,-81.717,"(27.8333, -81.717)",1637681,,202729,
GA,Georgia,2/1/2018,N,P,N,"48,870",,N/A,,"48,870",,"39,158",,"1,466",,"40,624",,1246083,,"1,787,104",,27.8333,-81.717,"(27.8333, -81.717)",1589715,,197389,
HI,Hawaii,2/1/2018,Y,P,N,"4,056",,N/A,,"4,056",,"6,465",,360,,"6,825",,145836,,"350,304",,32.9866,-83.6487,"(32.9866, -83.6487)",325323,,24981,
HI,Hawaii,2/1/2018,Y,U,Y,"4,056",,N/A,,"4,056",,"6,465",,360,,"6,825",,145994,,"350,462",,32.9866,-83.6487,"(32.9866, -83.6487)",325479,,24983,
ID,Idaho,2/1/2018,N,P,N,"8,322",,,,"8,322",,"7,457",,804,,"8,261",,203484,,"282,592",,42.0046,-93.214,"(42.0046, -93.214)",257626,,24966,
ID,Idaho,2/1/2018,N,U,Y,"8,274",,,,"8,274",,"7,409",,804,,"8,213",,204455,,"284,104",,42.0046,-93.214,"(42.0046, -93.214)",259032,,25072,
IL,Illinois,2/1/2018,Y,P,N,"58,448",,N/A,,"58,448",,"34,745",,"12,228",,"46,973",,1383384,,"2,968,722",,44.2394,-114.5103,"(44.2394, -114.5103)",2738149,,230573,
IL,Illinois,2/1/2018,Y,U,Y,"58,448",,N/A,,"58,448",,"34,745",,"12,228",,"46,973",,1406130,,"3,022,233",,44.2394,-114.5103,"(44.2394, -114.5103)",2790720,,231513,
IN,Indiana,2/1/2018,Y,P,N,"87,289",,N/A,,"87,289",,"35,260",,"2,942",,"38,202",,794852,,"1,462,172",,40.3363,-89.0022,"(40.3363, -89.0022)",1354563,,107609,
IN,Indiana,2/1/2018,Y,U,Y,"87,289",,N/A,,"87,289",,"35,260",,"2,942",,"38,202",,805182,,"1,465,020",,40.3363,-89.0022,"(40.3363, -89.0022)",1356659,,108361,
IA,Iowa,2/1/2018,Y,P,N,"14,452",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"14,452",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"2,829",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"2,829",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,324767,,"667,331",,21.1098,-157.5311,"(21.1098, -157.5311)",599666,,67665,
IA,Iowa,2/1/2018,Y,U,Y,"14,452",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"14,452",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"2,829",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"2,829",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,327464,,"673,489",,21.1098,-157.5311,"(21.1098, -157.5311)",605643,,67846,
KS,Kansas,2/1/2018,N,P,N,,,N/A,,,,,,,,,,275926,,"396,699",,39.8647,-86.2604,"(39.8647, -86.2604)",344353,,52346,
KS,Kansas,2/1/2018,N,U,Y,,,N/A,,,,,,,,,,275926,,"396,699",,39.8647,-86.2604,"(39.8647, -86.2604)",344353,,52346,
KY,Kentucky,2/1/2018,Y,P,Y,,,9551,,"9,551",,,,,,,,578385,,"1,278,408",,38.5111,-96.8005,"(38.5111, -96.8005)",1190658,,87750,
LA,Louisiana,2/1/2018,Y,P,Y,"22,805",,N/A,,"22,805",,"32,519",,"2,427",,"34,946",,739372,,"1,462,701",,37.669,-84.6514,"(37.669, -84.6514)",1337737,,124964,
ME,Maine,2/1/2018,N,P,N,"1,369",,N/A,,"1,369",,"9,501",,424,,"9,925",,109010,,"264,411",,39.0724,-76.7902,"(39.0724, -76.7902)",259718,,4693,
ME,Maine,2/1/2018,N,U,Y,"1,369",,N/A,,"1,369",,"9,501",,424,,"9,925",,109925,,"266,366",,39.0724,-76.7902,"(39.0724, -76.7902)",261627,,4739,
MD,Maryland,2/1/2018,Y,P,N,"6,676",,79909,Includes Renewals and/or Redeterminations,"86,585",Includes Renewals and/or Redeterminations,"25,746",Includes Renewals and/or Redeterminations,"3,674",Includes Renewals and/or Redeterminations,"29,420",Includes Renewals and/or Redeterminations,612022,,"1,315,312",,42.2373,-71.5314,"(42.2373, -71.5314)",1166220,,149092,
MD,Maryland,2/1/2018,Y,U,Y,"7,622",,79909,Includes Renewals and/or Redeterminations,"87,531",Includes Renewals and/or Redeterminations,"25,746",Includes Renewals and/or Redeterminations,"3,674",Includes Renewals and/or Redeterminations,"29,420",Includes Renewals and/or Redeterminations,619325,,"1,330,636",,42.2373,-71.5314,"(42.2373, -71.5314)",1180761,,149875,
MA,Massachusetts,2/1/2018,Y,P,N,"16,733",,2323,,"19,056",,,,,,,,682102,,"1,638,373",,31.1801,-91.8749,"(31.1801, -91.8749)",1464061,,174312,
MA,Massachusetts,2/1/2018,Y,U,Y,"18,459",,3068,,"21,527",,,,,,,,688872,,"1,652,169",,31.1801,-91.8749,"(31.1801, -91.8749)",1476285,,175884,
MI,Michigan,2/1/2018,Y,P,N,"43,175",,N/A,,"43,175",,"42,626",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,291",,"43,917",,940072,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,352,612",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2297075,Does Not Include All Full-Benefit Medicaid enrollees,55537,
MI,Michigan,2/1/2018,Y,U,Y,"43,172",,N/A,,"43,172",,"42,819",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,288",,"44,107",,950952,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,381,797",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2325253,Does Not Include All Full-Benefit Medicaid enrollees,56544,
MN,Minnesota,2/1/2018,Y,P,N,"4,150",,19223,,"23,373",,"19,600",,43,,"19,643",,525808,,"1,062,278",,43.3504,-84.5603,"(43.3504, -84.5603)",1061005,,1273,
MN,Minnesota,2/1/2018,Y,U,Y,"5,552",,21430,,"26,982",,"19,600",,43,,"19,643",,535773,,"1,081,559",,43.3504,-84.5603,"(43.3504, -84.5603)",1080142,,1417,
MS,Mississippi,2/1/2018,N,P,N,"16,452",,N/A,,"16,452",,"10,119",,378,,"10,497",,443554,,"657,928",,38.4623,-92.302,"(38.4623, -92.302)",579863,,78065,
MS,Mississippi,2/1/2018,N,U,Y,"16,452",,N/A,,"16,452",,"10,119",,378,,"10,497",,450853,,"669,443",,38.4623,-92.302,"(38.4623, -92.302)",590625,,78818,
MO,Missouri,2/1/2018,N,P,Y,"18,143",,N/A,,"18,143",,"8,396","Includes CHIP; Count is of Households, Not Individuals",,,"8,396","Count is of Households, Not Individuals",617601,,"954,158",,45.7326,-93.9196,"(45.7326, -93.9196)",924337,,29821,
MT,Montana,2/1/2018,Y,P,N,"2,896",,N/A,,"2,896",,"3,657",,284,,"3,941",,128616,,"275,947",,14.8058,145.5505,"(14.8058, 145.5505)",249372,,26575,
MT,Montana,2/1/2018,Y,U,Y,"3,060",,N/A,,"3,060",,"3,657",,284,,"3,941",,129603,,"278,379",,14.8058,145.5505,"(14.8058, 145.5505)",251602,,26777,
NE,Nebraska,2/1/2018,N,P,N,"5,714",,N/A,,"5,714",,"6,600",,990,,"7,590",,163085,,"244,961",,35.6411,-79.8431,"(35.6411, -79.8431)",211139,,33822,
NE,Nebraska,2/1/2018,N,U,Y,"5,714",,N/A,,"5,714",,"6,600",,990,,"7,590",,166177,,"249,964",,35.6411,-79.8431,"(35.6411, -79.8431)",215666,,34298,
NV,Nevada,2/1/2018,Y,P,Y,"18,471",Includes Renewals and/or Redeterminations,N/A,,"18,471",Includes Renewals and/or Redeterminations,"11,986","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",59,,"12,045",,306238,,"642,618",,40.314,-74.5089,"(40.314, -74.5089)",601461,,41157,
NH,New Hampshire,2/1/2018,Y,P,N,"8,247",,N/A,,"8,247",,"5,289",,499,,"5,788",,91554,,"184,549",,47.5362,-99.793,"(47.5362, -99.793)",170169,,14380,
NH,New Hampshire,2/1/2018,Y,U,Y,"8,247",,N/A,,"8,247",,"5,289",,499,,"5,788",,92862,,"187,828",,47.5362,-99.793,"(47.5362, -99.793)",173222,,14606,
NJ,New Jersey,2/1/2018,Y,P,N,"30,097",,N/A,,"30,097",,"17,458",Does Not Include All Medicaid Determinations Made At Application,"7,577",Does Not Include All CHIP Determinations Made At Application,"25,035",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,834545,,"1,754,378",,41.1289,-98.2883,"(41.1289, -98.2883)",1548039,,206339,
NJ,New Jersey,2/1/2018,Y,U,Y,"30,097",,N/A,,"30,097",,"17,458",Does Not Include All Medicaid Determinations Made At Application,"7,577",Does Not Include All CHIP Determinations Made At Application,"25,035",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,847440,,"1,784,755",,41.1289,-98.2883,"(41.1289, -98.2883)",1576847,,207908,
NM,New Mexico,2/1/2018,Y,P,Y,"12,171",,N/A,,"12,171",,"17,416",,"1,403",,"18,819",,342775,,"745,640",,43.4108,-71.5653,"(43.4108, -71.5653)",706867,,38773,
NY,New York,2/1/2018,Y,P,N,,,691338,Includes Renewals and/or Redeterminations,"691,338",Includes Renewals and/or Redeterminations,"147,174",Includes Renewals and/or Redeterminations,"12,640",Includes Renewals and/or Redeterminations,"159,814",Includes Renewals and/or Redeterminations,2497772,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,"6,492,609",Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5889026,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,603583,
NY,New York,2/1/2018,Y,U,Y,,,691338,Includes Renewals and/or Redeterminations,"691,338",Includes Renewals and/or Redeterminations,"149,540",Includes Renewals and/or Redeterminations,"12,676",Includes Renewals and/or Redeterminations,"162,216",Includes Renewals and/or Redeterminations,2500325,Includes Limited-Benefit Enrollees,"6,488,545",Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5881553,Includes Limited-Benefit Enrollees,606992,
NC,North Carolina,2/1/2018,N,P,N,"22,226",,N/A,,"22,226",,"34,999",,"3,775",,"38,774",,1439883,,"2,055,472",,32.7673,-89.6812,"(32.7673, -89.6812)",1817312,,238160,
NC,North Carolina,2/1/2018,N,U,Y,"22,226",,N/A,,"22,226",,"34,999",,"3,775",,"38,774",,1468760,,"2,107,044",,32.7673,-89.6812,"(32.7673, -89.6812)",1862526,,244518,
ND,North Dakota,2/1/2018,Y,P,Y,"2,112",,N/A,,"2,112",,"2,078",,64,,"2,142",,44822,,"95,950",,46.9048,-110.3261,"(46.9048, -110.3261)",93872,,2078,
OH,Ohio,2/1/2018,Y,P,N,"61,456",Includes Renewals and/or Redeterminations,N/A,,"61,456",Includes Renewals and/or Redeterminations,"42,590",Includes CHIP; Includes Renewals and/or Redeterminations,"2,579",,"45,169",Includes Renewals and/or Redeterminations,1184491,,"2,795,927",,38.4199,-117.1219,"(38.4199, -117.1219)",2579810,,216117,
OH,Ohio,2/1/2018,Y,U,Y,"61,456",Includes Renewals and/or Redeterminations,N/A,,"61,456",Includes Renewals and/or Redeterminations,"42,590",Includes CHIP; Includes Renewals and/or Redeterminations,"2,579",,"45,169",Includes Renewals and/or Redeterminations,1184491,,"2,795,927",,38.4199,-117.1219,"(38.4199, -117.1219)",2579810,,216117,
OK,Oklahoma,2/1/2018,N,P,Y,"39,163",,N/A,,"39,163",,"31,350",,"5,948",,"37,298",,508616,,"779,567",,42.1497,-74.9384,"(42.1497, -74.9384)",659391,,120176,
OR,Oregon,2/1/2018,Y,P,N,"11,953",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"11,953",Does Not Include All Non-MAGI Applications,"26,046","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","2,372",,"28,418",Does Not Include All Non-MAGI Determinations Made At Application,414737,,"960,696",,40.3736,-82.7755,"(40.3736, -82.7755)",836064,,124632,
OR,Oregon,2/1/2018,Y,U,Y,"12,653",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"12,653",Does Not Include All Non-MAGI Applications,"25,328","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","2,265",,"27,593",Does Not Include All Non-MAGI Determinations Made At Application,419307,,"970,752",,40.3736,-82.7755,"(40.3736, -82.7755)",844832,,125920,
PA,Pennsylvania,2/1/2018,Y,P,N,"67,524",Includes Renewals and/or Redeterminations,N/A,,"67,524",Includes Renewals and/or Redeterminations,"40,585","Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals","9,965","Count is of Households, Not Individuals","50,550","Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",1401765,,"2,984,134",,35.5376,-96.9247,"(35.5376, -96.9247)",2803302,,180832,
PA,Pennsylvania,2/1/2018,Y,U,Y,"80,253",Includes Renewals and/or Redeterminations,N/A,,"80,253",Includes Renewals and/or Redeterminations,"48,196","Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals","9,965","Count is of Households, Not Individuals","58,161","Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",1409694,,"3,005,552",,35.5376,-96.9247,"(35.5376, -96.9247)",2824720,,180832,
RI,Rhode Island,2/1/2018,Y,P,Y,"2,754","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,"2,754","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)","3,646",,480,,"4,126",,122891,,"311,695",,44.5672,-122.1269,"(44.5672, -122.1269)",282151,,29544,
SC,South Carolina,2/1/2018,N,P,N,"22,347",,N/A,,"22,347",,"6,532",Does Not Include All Medicaid Determinations Made At Application,119,Does Not Include All CHIP Determinations Made At Application,"6,651",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,637785,,"1,011,302",,40.5773,-77.264,"(40.5773, -77.264)",928436,,82866,
SC,South Carolina,2/1/2018,N,U,Y,"22,347",,N/A,,"22,347",,"6,532",Does Not Include All Medicaid Determinations Made At Application,119,Does Not Include All CHIP Determinations Made At Application,"6,651",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,650554,,"1,039,978",,40.5773,-77.264,"(40.5773, -77.264)",955846,,84132,
SD,South Dakota,2/1/2018,N,P,Y,"2,215",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"2,215",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,"1,381","Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","1,381","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",81202,,"118,570",,18.2766,-66.335,"(18.2766, -66.335)",102150,,16420,
TN,Tennessee,2/1/2018,N,P,N,537,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,537,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,489,,489,Does Not Include All Medicaid Determinations Made At Application,,,"1,527,295",,41.6772,-71.5101,"(41.6772, -71.5101)",1448531,,78764,
TN,Tennessee,2/1/2018,N,U,Y,537,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,537,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,489,,489,Does Not Include All Medicaid Determinations Made At Application,,,"1,534,978",,41.6772,-71.5101,"(41.6772, -71.5101)",1455833,,79145,
TX,Texas,2/1/2018,N,P,N,"96,038",,N/A,,"96,038",,"84,549",,"14,874",,"99,423",,3495642,,"4,407,687",,33.8191,-80.9066,"(33.8191, -80.9066)",3776933,,630754,
TX,Texas,2/1/2018,N,U,Y,"118,381",,N/A,,"118,381",,"84,622",,"14,874",,"99,496",,3518422,,"4,436,055",,33.8191,-80.9066,"(33.8191, -80.9066)",3803351,,632704,
UT,Utah,2/1/2018,N,P,N,"22,069","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"22,069","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","47,451",Includes CHIP,,,"47,451",,207115,,"298,771",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",252243,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,46528,
UT,Utah,2/1/2018,N,U,Y,"23,120","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"23,120","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","47,451",Includes CHIP,,,"47,451",,208834,,"301,585",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",254766,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,46819,
VT,Vermont,2/1/2018,Y,P,N,"3,010",,950,,"3,960",Includes Renewals and/or Redeterminations,"2,914",Includes Renewals and/or Redeterminations,75,,"2,989",,63929,,"164,259",,31.106,-97.6475,"(31.106, -97.6475)",159599,,4660,
VT,Vermont,2/1/2018,Y,U,Y,"3,010",,953,,"3,963",Includes Renewals and/or Redeterminations,"3,618",Includes Renewals and/or Redeterminations,96,,"3,714",,64264,,"165,279",,31.106,-97.6475,"(31.106, -97.6475)",160577,,4702,
VA,Virginia,2/1/2018,N,P,N,"19,282",Includes Renewals and/or Redeterminations,N/A,,"19,282",Includes Renewals and/or Redeterminations,"19,423",Includes Renewals and/or Redeterminations,922,Includes Renewals and/or Redeterminations,"20,345",Includes Renewals and/or Redeterminations,678500,,"1,020,757",,35.7449,-86.7489,"(35.7449, -86.7489)",884336,,136421,
VA,Virginia,2/1/2018,N,U,Y,"19,939",Includes Renewals and/or Redeterminations,N/A,,"19,939",Includes Renewals and/or Redeterminations,"19,894",Includes Renewals and/or Redeterminations,956,Includes Renewals and/or Redeterminations,"20,850",Includes Renewals and/or Redeterminations,688287,,"1,035,326",,35.7449,-86.7489,"(35.7449, -86.7489)",896952,,138374,
WA,Washington,2/1/2018,Y,P,N,"16,684",,67476,,"84,160",,"35,747",,"1,296",,"37,043",,839656,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,767,029",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1704564,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),62465,
WA,Washington,2/1/2018,Y,U,Y,"18,472",,68675,,"87,147",,"35,689",,"1,297",,"36,986",,843370,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,774,008",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1710884,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),63124,
WV,West Virginia,2/1/2018,Y,P,Y,"22,600",,N/A,,"22,600",,"11,719",,579,,"12,298",,221296,,"549,651",,18.0001,-64.8199,"(18.0001, -64.8199)",516551,,33100,
WI,Wisconsin,2/1/2018,N,P,N,"21,938",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"21,938",Does Not Include All Applications for Limited-Benefit Programs,"17,378","Count is of Households, Not Individuals","1,095",,"18,473",,489553,,"1,040,641",,37.768,-78.2057,"(37.768, -78.2057)",972861,,67780,
WI,Wisconsin,2/1/2018,N,U,Y,"22,281",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"22,281",Does Not Include All Applications for Limited-Benefit Programs,"17,378","Count is of Households, Not Individuals","1,095",,"18,473",,489553,,"1,040,641",,37.768,-78.2057,"(37.768, -78.2057)",972861,,67780,
