"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All states (including the District of Columbia) are required to provide data to The Centers for Medicare & Medicaid Services (CMS) on a range of indicators related to key application, eligibility, and enrollment processes within the state Medicaid and Children’s Health Insurance Programs (CHIP). These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total New Determinations,Total New Determinations - footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MT,Montana,11/1/2018,Y,P,Y,"3,549",,N/A,,"3,549",,"3,612",,325,,"3,937",,126725,,"276,352",,14.8058,145.5505,"(14.8058, 145.5505)",248327,,28025,
NE,Nebraska,11/1/2018,N,P,Y,"6,301",,N/A,,"6,301",,"5,239",,999,,"6,238",,162039,,"243,159",,35.6411,-79.8431,"(35.6411, -79.8431)",208946,,34213,
NV,Nevada,11/1/2018,Y,P,Y,"24,000",Includes Renewals and/or Redeterminations,N/A,,"24,000",Includes Renewals and/or Redeterminations,"11,612","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",49,,"11,661",,302480,,"639,840",,40.314,-74.5089,"(40.314, -74.5089)",598308,,41532,
NH,New Hampshire,11/1/2018,Y,P,Y,"6,946",,N/A,,"6,946",,"4,781",,534,,"5,315",,89563,,"180,354",,47.5362,-99.793,"(47.5362, -99.793)",165654,,14700,
NJ,New Jersey,11/1/2018,Y,P,Y,"36,113",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"36,113",Does Not Include All Non-MAGI Applications,"12,099",Does Not Include All Medicaid Determinations Made At Application,"4,513",Does Not Include All CHIP Determinations Made At Application,"16,612",Does Not Include All Medicaid Determinations Made At Application,815953,,"1,712,130",,41.1289,-98.2883,"(41.1289, -98.2883)",1502008,,210122,
NM,New Mexico,11/1/2018,Y,P,Y,"11,781",,N/A,,"11,781",,"19,389",,"1,483",,"20,872",,330568,,"727,516",,43.4108,-71.5653,"(43.4108, -71.5653)",690720,,36796,
NY,New York,11/1/2018,Y,P,Y,,,1061843,Includes Renewals and/or Redeterminations,"1,061,843",Includes Renewals and/or Redeterminations,"115,743",Includes Renewals and/or Redeterminations,"8,339",Includes Renewals and/or Redeterminations,"124,082",Includes Renewals and/or Redeterminations,2501709,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,"6,514,626",Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5876899,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,637727,
NC,North Carolina,11/1/2018,N,P,Y,"21,783",,N/A,,"21,783",,"30,177",,"3,786",,"33,963",,1441152,,"2,042,755",,32.7673,-89.6812,"(32.7673, -89.6812)",1788054,,254701,
ND,North Dakota,11/1/2018,Y,P,Y,"2,773",,N/A,,"2,773",,"2,098",,81,,"2,179",,43069,,"91,378",,46.9048,-110.3261,"(46.9048, -110.3261)",89250,,2128,
OH,Ohio,11/1/2018,Y,P,Y,"67,290",Includes Renewals and/or Redeterminations,N/A,,"67,290",Includes Renewals and/or Redeterminations,"50,497",Includes CHIP; Includes Renewals and/or Redeterminations,"2,896",,"53,393",Includes Renewals and/or Redeterminations,1151738,,"2,679,329",,38.4199,-117.1219,"(38.4199, -117.1219)",2466215,,213114,
